time,avergage Energy,survivalDuration

1353116313.324426, 0.500234, 2000
1353116320.849551, 0.500234, 2000
1353116327.049689, 0.500234, 2000
1353116786.418415, 0.500234, 2000
1353116812.741274, 0.500234, 2000
1353117123.673506, 0.500234, 2000
1353117151.120927, 0.500234, 2000
1353117201.495278, 0.500234, 2000
1353117222.149393, 0.500234, 2000
1353117229.932388, 0.500234, 2000
1353117236.936929, 0.500234, 2000
1353117245.167734, 0.500234, 2000
1353117251.624121, 0.500234, 2000
1353117259.777963, 0.500234, 2000
