1354654206.720821, 0.840910, 29032, 0.250000
1354654401.470989, 0.861286, 33084, 0.250000
1354744667.123829, 0.840910, 29032, 0.250000
1354746229.938417, 0.917733, 29206, 0.250000
1354746294.844542, 0.919537, 28634, 0.250000
1354746387.751042, 0.840910, 29032, 0.250000
1354746450.953824, 0.845605, 27573, 0.250000
1354746528.494811, 0.917733, 29206, 0.250000
1354746592.641234, 0.916750, 26446, 0.250000
1354746651.291209, 0.919777, 27928, 0.250000
1354746755.546802, 0.917733, 29206, 0.250000
1354746820.262817, 0.919781, 29030, 0.250000
1354746884.452631, 0.917647, 26240, 0.250000
1354748348.752598, 0.917733, 29206, 0.250000
1354748413.993539, 0.917361, 30024, 0.250000
1354748480.693880, 0.911965, 24595, 0.250000
