1354469458.055822, 0.722370, 11475, 0.250000
1354469699.962998, 0.745303, 11635, 0.250000
1354469759.799244, 0.666150, 13376, 0.250000
1354471356.364603, 0.796988, 17557, 0.250000
1354471442.560680, 0.774943, 18059, 0.250000
1354471554.370983, 0.796988, 17557, 0.250000
1354471640.239936, 0.881861, 11471, 0.250000
1354471701.890532, 0.784298, 15960, 0.250000
1354471785.080285, 0.826315, 14626, 0.250000
1354471867.189965, 0.816983, 13749, 0.250000
1354471965.422390, 0.572076, 435, 5.000000
1354471986.530516, 0.574982, 317, 5.000000
1354472003.022328, 0.426198, 500, 5.000000
1354472042.154644, 0.490488, 41, 50.000000
1354472044.419317, 0.432014, 36, 50.000000
1354472046.419233, 0.478238, 40, 50.000000
1354472048.561514, 0.478238, 40, 50.000000
1354472050.839134, 0.478238, 40, 50.000000
1354472053.148807, 0.498681, 36, 50.000000
1354472069.468849, 0.891703, 4553, 1.000000
1354472108.620824, 0.666140, 8238, 0.100000
1354508889.186900, 0.726629, 4397, 3.000000
